,Country,no_of_stars,name,city,cuisine
11,Japan,1,Gion Kawakami,Kyoto,Japanese
12,Japan,1,Kyoboshi,Kyoto,Tempura
13,Japan,1,Sakuragawa,Kyoto,Japanese
14,Japan,1,Jiki Miyazawa,Kyoto,Japanese
15,Japan,1,Shun-ai Sasaki,Kyoto,Japanese
16,Japan,1,Tozentei,Kyoto,Japanese
17,Japan,1,Fuguryori Tomoe,Kyoto,Fugu
18,Japan,1,Nakazen,Kyoto,Japanese
19,Japan,1,Gion Nishimura,Kyoto,Japanese
20,Japan,1,Hana-Kitcho,Kyoto,Japanese
21,Japan,1,Oryori Hayashi,Kyoto,Japanese
22,Japan,1,Oryori Hiwatashi,Kyoto,Japanese
23,Japan,1,Hokkoriya,Kyoto,Obanzai
24,Japan,1,Honke Tankuma Honten,Kyoto,Japanese
25,Japan,1,Oryori Mashita,Kyoto,Japanese
26,Japan,1,Gion Matsudaya,Kyoto,Sushi
27,Japan,1,Sushi Matsumoto,Kyoto,Sushi
28,Japan,1,Mokube,Kyoto,Japanese
29,Japan,1,Motoï,Kyoto,French
30,Japan,1,La Biographie,Kyoto,French
31,Japan,1,La Famille Morinaga,Kyoto,French
32,Japan,1,Gion Rikichi,Kyoto,Japanese
33,Japan,1,Reine des Prés,Kyoto,French
34,Japan,1,Muromachi Wakuden,Kyoto,Japanese
35,Japan,1,Godan Miyazawa,Kyoto,Japanese
36,Japan,1,Naruya,Kyoto,Japanese
37,Japan,1,Nishijin Fujiyoshi,Kyoto,Japanese
38,Japan,1,Kinobu,Kyoto,Japanese
39,Japan,1,Kokyu,Kyoto,Japanese
40,Japan,1,Ten-you,Kyoto,Tempura
41,Japan,1,Gion Iwasaki,Kyoto,Japanese
42,Japan,1,Gion Kida,Kyoto,Japanese
43,Japan,1,Kiyama,Kyoto,Japanese
44,Japan,1,Gokomachi Tagawa,Kyoto,Japanese
45,Japan,1,Shuhaku,Kyoto,Japanese
46,Japan,1,Sushi Kappo Nakaichi,Kyoto,Japanese
47,Japan,1,Sushi Wakon,Kyoto,Sushi
48,Japan,1,Tempura Mizuki,Kyoto,Tempura
49,Japan,1,Tominokoji Yamagishi,Kyoto,Japanese
50,Japan,1,Nikunotakumi Miyoshi,Kyoto,Beef Specialities
51,Japan,1,Nijojo Furuta,Kyoto,Japanese
52,Japan,1,Mirei,Kyoto,Japanese
53,Japan,1,Aoike,Kyoto,French
54,Japan,1,Ayanokoji Karatsu,Kyoto,Japanese
55,Japan,1,Gion Sushi Tadayasu,Kyoto,Sushi
56,Japan,1,Gion Roiro,Kyoto,French
57,Japan,1,Gion Fukushi,Kyoto,Japanese
58,Japan,1,Kentan Horibe,Kyoto,Japanese
59,Japan,1,Kodaiji Jugyuan,Kyoto,Japanese
60,Japan,1,Sen,Kyoto,Japanese
61,Japan,1,Sokkon Fujimoto,Kyoto,Japanese
62,Japan,1,Droit,Kyoto,French
63,Japan,1,Hiramatsu Kodaiji,Kyoto,French
64,Japan,1,Fujii,Kyoto,Japanese
65,Japan,1,Funaokayama Shimizu,Kyoto,Japanese
66,Japan,1,Muroi,Kyoto,Japanese
67,Japan,1,Ristorante Chimera,Kyoto,Italian
68,Japan,1,ItoNEW,Kyoto,Japanese
69,Japan,1,VenaNEW,Kyoto,Italian
70,Japan,1,Oshikoji OkadaNEW,Kyoto,Japanese
71,Japan,1,Kamanza NagashimaNEW,Kyoto,Japanese
72,Japan,1,Kyoryori FujimotoNEW,Kyoto,Japanese
73,Japan,1,Sushi RakumiNEW,Kyoto,Sushi
74,Japan,1,Higashiyama YoshihisaNEW,Kyoto,Japanese
75,Japan,1,BiniNEW,Kyoto,Italian
0,Japan,2,Sumibi Kappo Ifuki,Kyoto,Japanese
